LA Code,Local Authority,1993,1994,1995,1996,1997,1998,1999,2000 [note 7],2001 [note 8],2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020 [note 9],2021 [note 9],2022 [note 9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,156,158,160,163,165,167,167,163,155,148,143,147,141,138,134,126,121,119,117,112,111,114,115,110,105,101,101,76,84,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,450,455,448,446,443,439,461,455,460,467,466,466,509,526,513,490,521,512,504,480,497,513,512,516,507,504,507,416,457,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000003,Barnet,1319,1341,1332,1357,1376,1366,1396,1368,1389,1402,1406,1397,1406,1419,1397,1457,1432,1464,1393,1412,1413,1416,1405,1369,1402,1396,1421,1108,1246,1271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000004,Bexley,729,739,730,750,758,763,775,801,817,816,821,853,858,831,824,823,832,809,795,787,772,786,791,803,804,797,814,666,749,773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000005,Brent,774,783,773,795,792,811,828,836,835,858,853,864,865,851,837,800,793,833,798,793,774,791,770,791,784,784,806,677,746,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000006,Bromley,1087,1087,1081,1100,1107,1115,1120,1130,1164,1170,1175,1187,1185,1180,1165,1161,1158,1126,1130,1127,1135,1156,1160,1160,1155,1135,1180,940,1090,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000007,Camden,503,505,506,503,500,502,506,486,477,470,464,446,436,430,427,417,419,399,394,376,375,379,377,371,368,359,355,279,311,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000008,Croydon,1129,1141,1130,1137,1136,1141,1157,1150,1166,1170,1162,1140,1136,1139,1151,1123,1112,1080,1080,1064,1070,1082,1075,1077,1066,1062,1084,884,1012,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000009,Ealing,1085,1095,1078,1095,1090,1089,1160,1156,1166,1173,1162,1154,1145,1123,1078,1104,1112,1084,1072,1028,1082,1053,1059,1046,1062,1057,1064,882,960,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000010,Enfield,1158,1183,1183,1204,1224,1219,1244,1256,1213,1235,1274,1280,1259,1318,1312,1259,1288,1340,1237,1291,1238,1285,1319,1306,1304,1308,1327,1026,1194,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000011,Greenwich,886,898,890,887,896,901,919,917,924,947,954,990,986,965,959,942,944,926,948,919,911,920,928,914,917,913,925,771,866,892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000012,Hackney,425,428,430,432,422,416,427,439,439,447,431,411,401,408,404,398,390,382,369,355,344,349,350,349,344,333,337,278,314,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000013,Hammersmith and Fulham,471,471,476,482,466,467,469,472,478,480,467,467,445,447,441,428,430,421,405,380,388,381,382,386,380,387,389,291,331,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000014,Haringey,506,509,509,511,509,509,515,505,499,496,492,477,474,472,471,449,434,425,424,417,415,421,421,416,413,416,424,333,376,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000015,Harrow,516,523,520,526,528,537,548,549,556,589,577,573,571,570,565,565,557,538,545,552,544,547,542,540,535,529,546,421,493,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000016,Havering,1091,1113,1119,1133,1146,1147,1196,1200,1190,1234,1154,1157,1197,1247,1222,1233,1282,1257,1231,1240,1271,1283,1267,1286,1297,1303,1333,1078,1197,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000017,Hillingdon,1754,1787,1792,1823,1865,1920,1949,1950,1929,1973,1936,1932,1937,1926,1923,1967,2016,1898,1890,1932,1965,1998,1943,1975,1950,1980,2023,1561,1767,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000018,Hounslow,1364,1387,1380,1408,1428,1440,1467,1440,1423,1437,1421,1451,1415,1441,1383,1399,1409,1367,1366,1356,1359,1373,1350,1370,1346,1354,1415,1035,1180,1287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000019,Islington,385,386,387,382,380,378,386,378,373,373,367,344,335,336,331,322,312,304,301,291,285,289,287,286,282,274,276,217,244,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000020,Kensington and Chelsea,458,464,468,468,467,464,468,458,458,457,436,428,423,429,405,394,393,392,392,367,362,373,371,369,362,376,383,300,326,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
